1,Radom
2,Warszawa
3,Grójec
4,Plock
5,Siedlce
6,Tarczyn
7,Piaseczno
8,Zwolen
9,Pionki
10,Kozienice
11,Marki
12,Karczew
13,Otwock
14,Karpacz
15,Boleslawiec
16,Lubawa
17,Milicz
18,Bardo
19,Wroclaw
20,Jelenia Góra
21,Niemcza
22,Szklarska Poreba
23,Lubawa
24,Kowary
25,Radków
26,Klodzko
27,Mirsk
28,Milicz
29,Syców
30,Olesnica
31,Ciechocinek
32,Inowroclaw
33,Torun
34,Wloclawek
35,Terespol
36,Krasnik
37,Lubartów
38,Kock
39,Pulawy
40,Parczew
41,Leczna
42,Nowa Sól
43,Rzepin
44,Torzym
45,Sulechów
46,Kargowa
47,Zary
48,Gorzów Wielkopolski
49,Tlowa
50,Belchatów
51,Kutno
52,Zelów
53,Lask
54,Lowicz
55,Radomsko
56,Rawa Mazowiecka
57,Warta
58,Zgierz
59,Lódz
60,Skierniewice
61,Sieradz
62,Bochnia
63,Krynica-Zdrój
64,Oswiecim
65,Kety
66,Nowy Sacz
67,Kraków
68,Tarnów
69,Kedzierzyn-Kozle
70,Nysa
71,Ujazd
72,Paczków
73,Debica
74,Lezajsk
75,Mielec
76,Rzeszów
77,Przemysl
78,Bialystok
79,Leba
80,Hel
81,Gdansk
82,Sopot
83,Ustka
84,Jastarnia
85,Wisla
86,Cieszyn
87,Tarnowskie Góry
88,Chorzów
89,Bytom
90,Gliwice
91,Katowice
92,Zabrze
93,Tychy
94,Kielce
95,Koszalin
96,Szczecin
97,Poznan
98,Leszno
99,Rawicz
100,Nidzica
101,Olsztyn
